Place_Id,Place_Name,Category,City,Rating,Lat,Long
43,The Escape Hunt,Taman Hiburan,Jakarta,4.4,-6.2555033,106.8122591
44,Monumen Selamat Datang,Budaya,Jakarta,4.7,-6.1949978,106.8230496
45,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,4.6,-6.1752647,106.7904684
46,Pulau Semak Daun,Bahari,Jakarta,4.0,-5.7296716,106.5714158
47,Taman Situ Lembang,Taman Hiburan,Jakarta,4.5,-6.1978861,106.8346708
48,Taman Ismail Marzuki,Budaya,Jakarta,4.6,-6.1891586,106.8397738
49,Galeri Indonesia Kaya,Budaya,Jakarta,4.8,-6.1948499,106.8200607
50,Museum Joang 45,Budaya,Jakarta,4.0,-6.1861838,106.8364761
51,Jakarta Planetarium,Taman Hiburan,Jakarta,4.1,-6.1900819,106.8388532
52,Kampung Cina,Budaya,Jakarta,4.5,-6.3651357,106.7617984
53,Rumah Sipitung,Budaya,Jakarta,4.5,-6.10016,106.96057
54,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,4.2,-6.3401514,106.9012561
55,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,4.5,-6.1444737,106.8126018
56,Pantai Ancol,Bahari,Jakarta,4.4,-6.1194215,106.8502435
57,Taman Lapangan Banteng,Taman Hiburan,Jakarta,4.7,-6.170555,106.8350378
58,Taman Ayodya,Taman Hiburan,Jakarta,4.4,-6.2452294,106.7946655
59,Museum Sumpah Pemuda,Budaya,Jakarta,4.7,-6.1838388,106.8430507
60,Museum Tekstil,Budaya,Jakarta,4.5,-6.1879634,106.8096081
61,Tugu Proklamasi,Budaya,Jakarta,4.6,-6.2030468,106.8466623
62,Taman Legenda Keong Emas,Taman Hiburan,Jakarta,4.5,-6.3039042,106.8936219
63,Museum Kebangkitan Nasional,Budaya,Jakarta,4.7,-6.178352,106.838094
64,Museum Sasmita Loka Ahmad Yani,Budaya,Jakarta,4.7,-6.2046303,106.8365324
65,Museum Basoeki Abdullah,Budaya,Jakarta,4.6,-6.2897885,106.7932681
66,Museum Layang-layang,Budaya,Jakarta,4.5,-6.3080282,106.790548
67,Margasatwa Muara Angke,Cagar Alam,Jakarta,4.2,-6.1160075,106.7692016
68,Pasar Petak Sembilan,Pusat Perbelanjaan,Jakarta,4.4,-6.1436722,106.8129398
69,Freedom Library,Budaya,Jakarta,5.0,-6.2022482,106.8451968
70,Perpustakaan Nasional,Budaya,Jakarta,4.7,-6.1812918,106.8268717
71,Cibubur Garden Diary (Cibugary),Cagar Alam,Jakarta,4.5,-6.3799969,106.8949793
72,Waterboom PIK (Pantai Indah Kapuk),Taman Hiburan,Jakarta,4.4,-6.1136559,106.7478596
73,Museum Perangko,Budaya,Jakarta,4.4,-6.3041841,106.9017725
74,Museum Tengah Kebun,Budaya,Jakarta,4.6,-6.267513,106.824107
75,SnowBay Waterpark,Taman Hiburan,Jakarta,4.3,-6.2992718,106.89151
76,Taman Cattleya,Taman Hiburan,Jakarta,4.5,-6.1810843,106.7954476
77,Taman Hutan Tebet,Taman Hiburan,Jakarta,4.4,-6.2371409,106.8526505
78,Hutan Kota Srengseng,Taman Hiburan,Jakarta,4.3,-6.2106945,106.7643954
79,Taman Spathodea,Taman Hiburan,Jakarta,4.6,-6.3226133,106.8241871
80,Plaza Indonesia,Pusat Perbelanjaan,Jakarta,4.7,-6.1939259,106.8222158
81,Mall Thamrin City,Pusat Perbelanjaan,Jakarta,4.4,-6.1946096,106.817905
82,Museum Satria Mandala,Budaya,Jakarta,4.5,-6.2316985,106.8185425
83,Alive Museum Ancol,Taman Hiburan,Jakarta,4.3,-6.1175344,106.857313
84,Kawasan Kuliner BSM,Pusat Perbelanjaan,Jakarta,4.6,-6.1842588,106.824033
85,Taman Pintar Yogyakarta,Taman Hiburan,Yogyakarta,4.5,-7.8006715,110.3676551
86,Keraton Yogyakarta,Budaya,Yogyakarta,4.6,-7.8052845,110.3642031
87,Sindu Kusuma Edupark (SKE),Taman Hiburan,Yogyakarta,4.2,-7.7672973,110.3542486
88,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,4.6,-7.8002016,110.3663044
89,De Mata Museum Jogja,Budaya,Yogyakarta,4.4,-7.8163156,110.3871442
90,Kampung Wisata Taman Sari,Taman Hiburan,Yogyakarta,4.6,-7.8100673,110.3594581
91,Situs Warungboto,Taman Hiburan,Yogyakarta,4.4,-7.8102685,110.3931513
92,Nol Kilometer Jl.Malioboro,Taman Hiburan,Yogyakarta,4.7,-7.8013803,110.3647652
